year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_fte_t
2019,NUTS,2010,DE8,1,3913.0
2011,NUTS,2010,DE80,2,3891.0
2013,NUTS,2010,DE80,2,3426.0
2015,NUTS,2010,DE80,2,3320.0
2017,NUTS,2010,DE80,2,3673.0
2019,NUTS,2010,DE80,2,3913.0
2011,NUTS,2010,DE9,1,25756.0
2013,NUTS,2010,DE9,1,27682.0
2015,NUTS,2010,DE9,1,28717.0
2017,NUTS,2010,DE9,1,30015.0
2019,NUTS,2010,DE9,1,32360.0
2011,NUTS,2010,DE91,2,14211.0
2013,NUTS,2010,DE91,2,15338.0
2015,NUTS,2010,DE91,2,15463.0
2017,NUTS,2010,DE91,2,16432.0
2019,NUTS,2010,DE91,2,17332.0
2011,NUTS,2010,DE92,2,7492.0
2013,NUTS,2010,DE92,2,7440.0
2015,NUTS,2010,DE92,2,7993.0
2017,NUTS,2010,DE92,2,7763.0
2019,NUTS,2010,DE92,2,8447.0
2011,NUTS,2010,DE93,2,1416.0
2013,NUTS,2010,DE93,2,1780.0
2015,NUTS,2010,DE93,2,1722.0
2017,NUTS,2010,DE93,2,1938.0
2019,NUTS,2010,DE93,2,2057.0
2011,NUTS,2010,DE94,2,2637.0
2013,NUTS,2010,DE94,2,3125.0
2015,NUTS,2010,DE94,2,3539.0
2017,NUTS,2010,DE94,2,3882.0
2019,NUTS,2010,DE94,2,4524.0
2011,NUTS,2010,DEA,1,51857.0
2013,NUTS,2010,DEA,1,53094.0
2015,NUTS,2010,DEA,1,59247.0
2017,NUTS,2010,DEA,1,64398.0
2019,NUTS,2010,DEA,1,69805.0
2011,NUTS,2010,DEA1,2,11689.0
2013,NUTS,2010,DEA1,2,11861.0
2015,NUTS,2010,DEA1,2,14181.0
2017,NUTS,2010,DEA1,2,15317.0
2019,NUTS,2010,DEA1,2,16225.0
2011,NUTS,2010,DEA2,2,21720.0
2013,NUTS,2010,DEA2,2,20395.0
2015,NUTS,2010,DEA2,2,23242.0
2017,NUTS,2010,DEA2,2,24960.0
2019,NUTS,2010,DEA2,2,27663.0
2011,NUTS,2010,DEA3,2,3648.0
2013,NUTS,2010,DEA3,2,4041.0
2015,NUTS,2010,DEA3,2,4058.0
2017,NUTS,2010,DEA3,2,4459.0
2019,NUTS,2010,DEA3,2,5009.0
2011,NUTS,2010,DEA4,2,5952.0
2013,NUTS,2010,DEA4,2,7002.0
2015,NUTS,2010,DEA4,2,7378.0
2017,NUTS,2010,DEA4,2,8152.0
2019,NUTS,2010,DEA4,2,8913.0
2011,NUTS,2010,DEA5,2,8850.0
2013,NUTS,2010,DEA5,2,9796.0
2015,NUTS,2010,DEA5,2,10387.0
2017,NUTS,2010,DEA5,2,11509.0
2019,NUTS,2010,DEA5,2,11995.0
2011,NUTS,2010,DEB,1,9044.0
2013,NUTS,2010,DEB,1,9857.0
2015,NUTS,2010,DEB,1,10948.0
2017,NUTS,2010,DEB,1,11659.0
2019,NUTS,2010,DEB,1,13236.0
2011,NUTS,2010,DEB1,2,1314.0
2013,NUTS,2010,DEB1,2,1414.0
2015,NUTS,2010,DEB1,2,1253.0
2017,NUTS,2010,DEB1,2,1536.0
2019,NUTS,2010,DEB1,2,1902.0
2011,NUTS,2010,DEB2,2,845.0
2013,NUTS,2010,DEB2,2,838.0
2015,NUTS,2010,DEB2,2,774.0
2017,NUTS,2010,DEB2,2,812.0
2019,NUTS,2010,DEB2,2,834.0
2011,NUTS,2010,DEB3,2,6884.0
2013,NUTS,2010,DEB3,2,7605.0
2015,NUTS,2010,DEB3,2,8922.0
2017,NUTS,2010,DEB3,2,9310.0
2019,NUTS,2010,DEB3,2,10500.0
2011,NUTS,2010,DEC,1,2280.0
2013,NUTS,2010,DEC,1,2687.0
2015,NUTS,2010,DEC,1,2681.0
2017,NUTS,2010,DEC,1,3210.0
2019,NUTS,2010,DEC,1,3472.0
2011,NUTS,2010,DEC0,2,2280.0
2013,NUTS,2010,DEC0,2,2687.0
2015,NUTS,2010,DEC0,2,2681.0
2017,NUTS,2010,DEC0,2,3210.0
2019,NUTS,2010,DEC0,2,3472.0
2011,NUTS,2010,DED,1,16234.0
2013,NUTS,2010,DED,1,17402.0
2015,NUTS,2010,DED,1,17572.0
2017,NUTS,2010,DED,1,18985.0
2019,NUTS,2010,DED,1,20261.0
2011,NUTS,2010,DED2,2,8924.0
2013,NUTS,2010,DED2,2,7727.0
