year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_fte_t
2014,NUTS,2010,DE6,1,3839.0
2015,NUTS,2010,DE6,1,4041.0
2016,NUTS,2010,DE6,1,4420.0
2017,NUTS,2010,DE6,1,4386.0
2018,NUTS,2010,DE6,1,4634.0
2019,NUTS,2010,DE6,1,4693.0
2011,NUTS,2010,DE60,2,3519.0
2012,NUTS,2010,DE60,2,3537.0
2013,NUTS,2010,DE60,2,3798.0
2014,NUTS,2010,DE60,2,3839.0
2015,NUTS,2010,DE60,2,4041.0
2016,NUTS,2010,DE60,2,4420.0
2017,NUTS,2010,DE60,2,4386.0
2018,NUTS,2010,DE60,2,4634.0
2019,NUTS,2010,DE60,2,4693.0
2011,NUTS,2010,DE7,1,7548.0
2012,NUTS,2010,DE7,1,7409.0
2013,NUTS,2010,DE7,1,7773.0
2014,NUTS,2010,DE7,1,7638.0
2015,NUTS,2010,DE7,1,7622.0
2016,NUTS,2010,DE7,1,8584.0
2017,NUTS,2010,DE7,1,8799.0
2018,NUTS,2010,DE7,1,9194.0
2019,NUTS,2010,DE7,1,9281.0
2011,NUTS,2010,DE71,2,4246.0
2012,NUTS,2010,DE71,2,4016.0
2013,NUTS,2010,DE71,2,4409.0
2014,NUTS,2010,DE71,2,4397.0
2015,NUTS,2010,DE71,2,4372.0
2016,NUTS,2010,DE71,2,4887.0
2017,NUTS,2010,DE71,2,5035.0
2018,NUTS,2010,DE71,2,5353.0
2019,NUTS,2010,DE71,2,5357.0
2011,NUTS,2010,DE72,2,2349.0
2012,NUTS,2010,DE72,2,2389.0
2013,NUTS,2010,DE72,2,2437.0
2014,NUTS,2010,DE72,2,2347.0
2015,NUTS,2010,DE72,2,2385.0
2016,NUTS,2010,DE72,2,2547.0
2017,NUTS,2010,DE72,2,2554.0
2018,NUTS,2010,DE72,2,2612.0
2019,NUTS,2010,DE72,2,2659.0
2011,NUTS,2010,DE73,2,954.0
2012,NUTS,2010,DE73,2,1004.0
2013,NUTS,2010,DE73,2,927.0
2014,NUTS,2010,DE73,2,894.0
2015,NUTS,2010,DE73,2,866.0
2016,NUTS,2010,DE73,2,1150.0
2017,NUTS,2010,DE73,2,1210.0
2018,NUTS,2010,DE73,2,1229.0
2019,NUTS,2010,DE73,2,1266.0
2011,NUTS,2010,DE8,1,1892.0
2012,NUTS,2010,DE8,1,2111.0
2013,NUTS,2010,DE8,1,2117.0
2014,NUTS,2010,DE8,1,2180.0
2015,NUTS,2010,DE8,1,2003.0
2016,NUTS,2010,DE8,1,2043.0
2017,NUTS,2010,DE8,1,2110.0
2018,NUTS,2010,DE8,1,2099.0
2019,NUTS,2010,DE8,1,2283.0
2011,NUTS,2010,DE80,2,1892.0
2012,NUTS,2010,DE80,2,2111.0
2013,NUTS,2010,DE80,2,2117.0
2014,NUTS,2010,DE80,2,2180.0
2015,NUTS,2010,DE80,2,2003.0
2016,NUTS,2010,DE80,2,2043.0
2017,NUTS,2010,DE80,2,2110.0
2018,NUTS,2010,DE80,2,2099.0
2019,NUTS,2010,DE80,2,2283.0
2011,NUTS,2010,DE9,1,9750.0
2012,NUTS,2010,DE9,1,10050.0
2013,NUTS,2010,DE9,1,10454.0
2014,NUTS,2010,DE9,1,10371.0
2015,NUTS,2010,DE9,1,10340.0
2016,NUTS,2010,DE9,1,11226.0
2017,NUTS,2010,DE9,1,11520.0
2018,NUTS,2010,DE9,1,11828.0
2019,NUTS,2010,DE9,1,11890.0
2011,NUTS,2010,DE91,2,4263.0
2012,NUTS,2010,DE91,2,4312.0
2013,NUTS,2010,DE91,2,4452.0
2014,NUTS,2010,DE91,2,4400.0
2015,NUTS,2010,DE91,2,4371.0
2016,NUTS,2010,DE91,2,4910.0
2017,NUTS,2010,DE91,2,5075.0
2018,NUTS,2010,DE91,2,5255.0
2019,NUTS,2010,DE91,2,5235.0
2011,NUTS,2010,DE92,2,3770.0
2012,NUTS,2010,DE92,2,3799.0
2013,NUTS,2010,DE92,2,3997.0
2014,NUTS,2010,DE92,2,3906.0
2015,NUTS,2010,DE92,2,3963.0
2016,NUTS,2010,DE92,2,4105.0
2017,NUTS,2010,DE92,2,4184.0
2018,NUTS,2010,DE92,2,4220.0
2019,NUTS,2010,DE92,2,4280.0
2011,NUTS,2010,DE93,2,361.0
2012,NUTS,2010,DE93,2,495.0
2013,NUTS,2010,DE93,2,498.0
2014,NUTS,2010,DE93,2,465.0
2015,NUTS,2010,DE93,2,306.0
2016,NUTS,2010,DE93,2,362.0
2017,NUTS,2010,DE93,2,360.0
2018,NUTS,2010,DE93,2,359.0
2019,NUTS,2010,DE93,2,338.0
2011,NUTS,2010,DE94,2,1356.0
2012,NUTS,2010,DE94,2,1445.0
2013,NUTS,2010,DE94,2,1507.0
2014,NUTS,2010,DE94,2,1599.0
2015,NUTS,2010,DE94,2,1699.0
2016,NUTS,2010,DE94,2,1850.0
2017,NUTS,2010,DE94,2,1901.0
2018,NUTS,2010,DE94,2,1994.0
2019,NUTS,2010,DE94,2,2036.0
2011,NUTS,2010,DEA,1,23386.0
2012,NUTS,2010,DEA,1,23391.0
