year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_bes_mio_pps_kp05
2013,NUTS,2010,DE3,1,1427.516
2015,NUTS,2010,DE3,1,1487.693
2017,NUTS,2010,DE3,1,1517.547
2019,NUTS,2010,DE3,1,1592.405
2011,NUTS,2010,DE30,2,1231.299
2013,NUTS,2010,DE30,2,1427.516
2015,NUTS,2010,DE30,2,1487.693
2017,NUTS,2010,DE30,2,1517.547
2019,NUTS,2010,DE30,2,1592.405
2011,NUTS,2010,DE4,1,270.382
2013,NUTS,2010,DE4,1,229.021
2015,NUTS,2010,DE4,1,325.172
2017,NUTS,2010,DE4,1,322.121
2019,NUTS,2010,DE4,1,371.276
2011,NUTS,2010,DE40,2,270.382
2013,NUTS,2010,DE40,2,229.021
2015,NUTS,2010,DE40,2,325.172
2017,NUTS,2010,DE40,2,322.121
2019,NUTS,2010,DE40,2,371.276
2011,NUTS,2010,DE5,1,236.123
2013,NUTS,2010,DE5,1,251.006
2015,NUTS,2010,DE5,1,259.974
2017,NUTS,2010,DE5,1,231.211
2019,NUTS,2010,DE5,1,252.893
2011,NUTS,2010,DE50,2,236.123
2013,NUTS,2010,DE50,2,251.006
2015,NUTS,2010,DE50,2,259.974
2017,NUTS,2010,DE50,2,231.211
2019,NUTS,2010,DE50,2,252.893
2011,NUTS,2010,DE6,1,1037.253
2013,NUTS,2010,DE6,1,1123.711
2015,NUTS,2010,DE6,1,1116.383
2017,NUTS,2010,DE6,1,1144.046
2019,NUTS,2010,DE6,1,1155.479
2011,NUTS,2010,DE60,2,1037.253
2013,NUTS,2010,DE60,2,1131.351
2015,NUTS,2010,DE60,2,1116.383
2017,NUTS,2010,DE60,2,1144.046
2019,NUTS,2010,DE60,2,1155.479
2011,NUTS,2010,DE7,1,4672.118
2013,NUTS,2010,DE7,1,4488.478
2015,NUTS,2010,DE7,1,4615.806
2017,NUTS,2010,DE7,1,4912.303
2019,NUTS,2010,DE7,1,5160.107
2011,NUTS,2010,DE71,2,3925.978
2013,NUTS,2010,DE71,2,3647.011
2015,NUTS,2010,DE71,2,3843.574
2017,NUTS,2010,DE71,2,4079.004
2019,NUTS,2010,DE71,2,4340.671
2011,NUTS,2010,DE72,2,309.472
2013,NUTS,2010,DE72,2,364.922
2015,NUTS,2010,DE72,2,369.183
2017,NUTS,2010,DE72,2,401.339
2019,NUTS,2010,DE72,2,402.381
2011,NUTS,2010,DE73,2,436.757
2013,NUTS,2010,DE73,2,476.546
2015,NUTS,2010,DE73,2,403.132
2017,NUTS,2010,DE73,2,431.96
2019,NUTS,2010,DE73,2,417.055
2011,NUTS,2010,DE8,1,212.756
2013,NUTS,2010,DE8,1,150.756
2015,NUTS,2010,DE8,1,196.412
2017,NUTS,2010,DE8,1,200.988
2019,NUTS,2010,DE8,1,182.963
2011,NUTS,2010,DE80,2,212.756
2013,NUTS,2010,DE80,2,150.756
2015,NUTS,2010,DE80,2,196.412
2017,NUTS,2010,DE80,2,200.988
2019,NUTS,2010,DE80,2,182.963
2011,NUTS,2010,DE9,1,3883.022
2013,NUTS,2010,DE9,1,4027.636
2015,NUTS,2010,DE9,1,5320.223
2017,NUTS,2010,DE9,1,5033.834
2019,NUTS,2010,DE9,1,5242.723
