year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_p_mact
2011,NUTS,2010,UKF,1,2.654
2012,NUTS,2010,UKF,1,0.687
2011,NUTS,2010,UKF1,2,4.946
2012,NUTS,2010,UKF1,2,0.31
2011,NUTS,2010,UKF2,2,1.098
2012,NUTS,2010,UKF2,2,0.839
2012,NUTS,2010,UKF3,2,1.453
2011,NUTS,2010,UKG,1,0.738
2012,NUTS,2010,UKG,1,0.494
2011,NUTS,2010,UKG1,2,0.771
2012,NUTS,2010,UKG1,2,1.513
2011,NUTS,2010,UKG2,2,1.885
2012,NUTS,2010,UKG3,2,0.254
2011,NUTS,2010,UKH,1,7.176
2012,NUTS,2010,UKH,1,3.256
2011,NUTS,2010,UKH1,2,16.161
2012,NUTS,2010,UKH1,2,7.22
2011,NUTS,2010,UKH3,2,2.001
2012,NUTS,2010,UKH3,2,1.122
2011,NUTS,2010,UKI,1,1.595
2012,NUTS,2010,UKI,1,1.026
2011,NUTS,2010,UKI1,2,2.836
2011,NUTS,2010,UKI2,2,0.754
2011,NUTS,2010,UKJ,1,11.711
2012,NUTS,2010,UKJ,1,13.131
2011,NUTS,2010,UKJ1,2,10.336
2012,NUTS,2010,UKJ1,2,12.057
2011,NUTS,2010,UKJ2,2,20.074
2012,NUTS,2010,UKJ2,2,23.412
2011,NUTS,2010,UKJ3,2,11.67
2012,NUTS,2010,UKJ3,2,11.063
2011,NUTS,2010,UKK,1,3.586
2012,NUTS,2010,UKK,1,2.915
2011,NUTS,2010,UKK1,2,6.809
2012,NUTS,2010,UKK1,2,4.405
2011,NUTS,2010,UKK2,2,1.587
2012,NUTS,2010,UKK2,2,0.643
2011,NUTS,2010,UKK3,2,1.013
2012,NUTS,2010,UKK3,2,3.845
2012,NUTS,2010,UKK4,2,1.758
2011,NUTS,2010,UKL,1,3.93
2012,NUTS,2010,UKL,1,3.397
2011,NUTS,2010,UKL1,2,2.18
2012,NUTS,2010,UKL1,2,4.017
2011,NUTS,2010,UKL2,2,6.767
2012,NUTS,2010,UKL2,2,2.383
2011,NUTS,2010,UKM,1,2.892
2012,NUTS,2010,UKM,1,0.537
2011,NUTS,2010,UKM2,2,5.976
2012,NUTS,2010,UKM2,2,1.2
2011,NUTS,2010,UKM3,2,1.345
2012,NUTS,2010,UKM3,2,0.183
2012,NUTS,2010,UKN,1,1.158
2012,NUTS,2010,UKN0,2,1.158
