year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_hc_total_f
2013,NUTS,2010,ES62,2,0.9433
2014,NUTS,2010,ES62,2,0.9602
2015,NUTS,2010,ES62,2,1.0659
2016,NUTS,2010,ES62,2,1.1226
2017,NUTS,2010,ES62,2,1.1656
2018,NUTS,2010,ES62,2,1.2207
2019,NUTS,2010,ES62,2,1.2688
2011,NUTS,2010,ES63,2,0.0935
2012,NUTS,2010,ES63,2,0.0881
2013,NUTS,2010,ES63,2,0.0764
2014,NUTS,2010,ES63,2,0.1964
2015,NUTS,2010,ES63,2,0.1933
2011,NUTS,2010,ES64,2,0.2086
2012,NUTS,2010,ES64,2,0.2014
2013,NUTS,2010,ES64,2,0.1776
2014,NUTS,2010,ES64,2,0.1633
2015,NUTS,2010,ES64,2,0.1497
2011,NUTS,2010,ES7,1,0.5104
2012,NUTS,2010,ES7,1,0.4713
2013,NUTS,2010,ES7,1,0.4391
2014,NUTS,2010,ES7,1,0.4226
2015,NUTS,2010,ES7,1,0.4327
2016,NUTS,2010,ES7,1,0.4497
2017,NUTS,2010,ES7,1,0.4703
2018,NUTS,2010,ES7,1,0.5014
2019,NUTS,2010,ES7,1,0.4878
2011,NUTS,2010,ES70,2,0.5104
2012,NUTS,2010,ES70,2,0.4713
2013,NUTS,2010,ES70,2,0.4391
2014,NUTS,2010,ES70,2,0.4226
2015,NUTS,2010,ES70,2,0.4327
