year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_pc_act_fte_t
2017,NUTS,2010,EU27_2020,7,0.0063
2018,NUTS,2010,EU27_2020,7,0.0066
2019,NUTS,2010,EU27_2020,7,0.0069
2020,NUTS,2010,EU27_2020,7,0.0072
2011,NUTS,2010,FI,0,0.0176
2012,NUTS,2010,FI,0,0.0153
2013,NUTS,2010,FI,0,0.0156
2014,NUTS,2010,FI,0,0.017
2015,NUTS,2010,FI,0,0.0166
2016,NUTS,2010,FI,0,0.0176
2017,NUTS,2010,FI,0,0.0174
2018,NUTS,2010,FI,0,0.0191
2019,NUTS,2010,FI,0,0.017
2020,NUTS,2010,FI,0,0.0176
2017,NUTS,2010,FI1,1,0.0169
2018,NUTS,2010,FI1,1,0.0185
2019,NUTS,2010,FI1,1,0.0164
2017,NUTS,2010,FI19,2,0.012
2018,NUTS,2010,FI19,2,0.0137
2019,NUTS,2010,FI19,2,0.0146
2017,NUTS,2010,FI1B,2,0.039
2018,NUTS,2010,FI1B,2,0.0423
2019,NUTS,2010,FI1B,2,0.0344
2017,NUTS,2010,FI1C,2,0.0044
2018,NUTS,2010,FI1C,2,0.0046
2019,NUTS,2010,FI1C,2,0.0056
