year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_pc_act_fte_f
2011,NUTS,2010,HU1,1,0.1527
2012,NUTS,2010,HU1,1,0.1525
2013,NUTS,2010,HU1,1,0.1605
2014,NUTS,2010,HU1,1,0.1552
2015,NUTS,2010,HU1,1,0.1499
2016,NUTS,2010,HU1,1,0.1463
2017,NUTS,2010,HU1,1,0.1643
2018,NUTS,2010,HU1,1,0.2277
2019,NUTS,2010,HU1,1,0.254
2011,NUTS,2010,HU10,2,0.1527
2012,NUTS,2010,HU10,2,0.1525
2013,NUTS,2010,HU10,2,0.1605
2014,NUTS,2010,HU10,2,0.1552
2015,NUTS,2010,HU10,2,0.1499
2016,NUTS,2010,HU10,2,0.1463
2017,NUTS,2010,HU11,2,0.2413
2018,NUTS,2010,HU11,2,0.3359
2019,NUTS,2010,HU11,2,0.4057
2017,NUTS,2010,HU12,2,0.0435
2018,NUTS,2010,HU12,2,0.0631
2019,NUTS,2010,HU12,2,0.0349
2011,NUTS,2010,HU2,1,0.0711
2012,NUTS,2010,HU2,1,0.0782
2013,NUTS,2010,HU2,1,0.0621
2014,NUTS,2010,HU2,1,0.0614
2015,NUTS,2010,HU2,1,0.0548
2016,NUTS,2010,HU2,1,0.0559
2017,NUTS,2010,HU2,1,0.0663
2018,NUTS,2010,HU2,1,0.0921
2019,NUTS,2010,HU2,1,0.1077
2011,NUTS,2010,HU21,2,0.0317
2012,NUTS,2010,HU21,2,0.0404
2013,NUTS,2010,HU21,2,0.0367
2014,NUTS,2010,HU21,2,0.0349
2015,NUTS,2010,HU21,2,0.0385
2016,NUTS,2010,HU21,2,0.0357
2017,NUTS,2010,HU21,2,0.0359
2018,NUTS,2010,HU21,2,0.0399
2019,NUTS,2010,HU21,2,0.0386
2011,NUTS,2010,HU22,2,0.0631
2012,NUTS,2010,HU22,2,0.0604
2013,NUTS,2010,HU22,2,0.0626
2014,NUTS,2010,HU22,2,0.0545
2015,NUTS,2010,HU22,2,0.0533
2016,NUTS,2010,HU22,2,0.0453
2017,NUTS,2010,HU22,2,0.0559
2018,NUTS,2010,HU22,2,0.0654
2019,NUTS,2010,HU22,2,0.0794
2011,NUTS,2010,HU23,2,0.1311
2012,NUTS,2010,HU23,2,0.1488
2013,NUTS,2010,HU23,2,0.0931
2014,NUTS,2010,HU23,2,0.1019
2015,NUTS,2010,HU23,2,0.077
2016,NUTS,2010,HU23,2,0.0928
2017,NUTS,2010,HU23,2,0.1169
2018,NUTS,2010,HU23,2,0.1898
2019,NUTS,2010,HU23,2,0.232
2011,NUTS,2010,HU3,1,0.1126
2012,NUTS,2010,HU3,1,0.1083
2013,NUTS,2010,HU3,1,0.1134
2014,NUTS,2010,HU3,1,0.1099
2015,NUTS,2010,HU3,1,0.1086
2016,NUTS,2010,HU3,1,0.1073
2017,NUTS,2010,HU3,1,0.112
2018,NUTS,2010,HU3,1,0.1441
2019,NUTS,2010,HU3,1,0.1706
2011,NUTS,2010,HU31,2,0.0645
2012,NUTS,2010,HU31,2,0.0625
2013,NUTS,2010,HU31,2,0.0573
2014,NUTS,2010,HU31,2,0.0578
2015,NUTS,2010,HU31,2,0.0589
2016,NUTS,2010,HU31,2,0.0615
2017,NUTS,2010,HU31,2,0.0674
2018,NUTS,2010,HU31,2,0.0748
2019,NUTS,2010,HU31,2,0.0973
2011,NUTS,2010,HU32,2,0.1137
2012,NUTS,2010,HU32,2,0.12
2013,NUTS,2010,HU32,2,0.1238
2014,NUTS,2010,HU32,2,0.1155
2015,NUTS,2010,HU32,2,0.1073
2016,NUTS,2010,HU32,2,0.1122
2017,NUTS,2010,HU32,2,0.1196
2018,NUTS,2010,HU32,2,0.1637
2019,NUTS,2010,HU32,2,0.1877
2011,NUTS,2010,HU33,2,0.1544
2012,NUTS,2010,HU33,2,0.1351
2013,NUTS,2010,HU33,2,0.1491
2014,NUTS,2010,HU33,2,0.1483
2015,NUTS,2010,HU33,2,0.1524
2016,NUTS,2010,HU33,2,0.14
2017,NUTS,2010,HU33,2,0.1416
2018,NUTS,2010,HU33,2,0.1832
2019,NUTS,2010,HU33,2,0.2131
2011,NUTS,2010,IE,0,0.2362
2012,NUTS,2010,IE,0,0.5431
2013,NUTS,2010,IE,0,0.555
2014,NUTS,2010,IE,0,0.5723
2015,NUTS,2010,IE,0,0.4619
2016,NUTS,2010,IE,0,0.3463
2017,NUTS,2010,IE,0,0.5368
2019,NUTS,2010,IE,0,0.4351
2011,NUTS,2010,IE0,1,0.2326
2012,NUTS,2010,IE0,1,0.2301
2013,NUTS,2010,IE0,1,0.2254
2014,NUTS,2010,IE0,1,0.3835
2015,NUTS,2010,IE0,1,0.5756
2017,NUTS,2010,IE0,1,0.5257
2011,NUTS,2010,IE01,2,0.1292
2012,NUTS,2010,IE01,2,0.1274
2013,NUTS,2010,IE01,2,0.1239
2014,NUTS,2010,IE01,2,0.2155
2015,NUTS,2010,IE01,2,0.0707
2017,NUTS,2010,IE01,2,0.8228
2011,NUTS,2010,IE02,2,0.2674
2012,NUTS,2010,IE02,2,0.2649
2013,NUTS,2010,IE02,2,0.26
2014,NUTS,2010,IE02,2,0.4392
