year,region_type,region_year_spec,region_id,region_level,medrxiv_count
2020,NUTS,2016,ES3,1,143
2020,NUTS,2016,ES30,2,143
2020,NUTS,2016,ES300,3,143
2020,NUTS,2016,ES4,1,36
2020,NUTS,2016,ES41,2,27
2020,NUTS,2016,ES412,3,1
2020,NUTS,2016,ES413,3,13
2020,NUTS,2016,ES415,3,10
2020,NUTS,2016,ES418,3,3
2020,NUTS,2016,ES42,2,5
2020,NUTS,2016,ES421,3,5
2020,NUTS,2016,ES43,2,4
2020,NUTS,2016,ES432,3,4
2020,NUTS,2016,ES5,1,135
2020,NUTS,2016,ES51,2,101
2020,NUTS,2016,ES511,3,95
2020,NUTS,2016,ES512,3,2
2020,NUTS,2016,ES513,3,3
2020,NUTS,2016,ES514,3,1
2020,NUTS,2016,ES52,2,33
2020,NUTS,2016,ES521,3,7
2020,NUTS,2016,ES523,3,26
2020,NUTS,2016,ES53,2,1
